[2025-06-01 01:25:52.460] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' escrito en 'data'.
[2025-06-01 01:28:59.430] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012856-0004.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:00.432] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012856-0004.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:01.433] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012856-0004.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:02.434] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012856-0004.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:03.436] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012856-0004.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:04.437] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012856-0004.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:05.438] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012856-0004.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:06.440] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012856-0004.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:07.441] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012856-0004.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:08.443] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012856-0004.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:09.444] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012856-0004.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:10.445] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012856-0004.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:11.448] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012856-0004.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:12.450] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012856-0004.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:13.466] [System                      ] [DEBUG] Archivo JSON 'decision_EVT-SEL-20250601012856-0004.json' leído de 'data_dashboard'.
[2025-06-01 01:29:13.469] [System                      ] [DEBUG] Archivo JSON 'routing_output.json' escrito en 'data'.
[2025-06-01 01:29:13.683] [System                      ] [DEBUG] Archivo JSON 'routing_output.json' leído de 'data'.
[2025-06-01 01:29:13.696] [System                      ] [INFO ] Reporte HTML generado: reports\evento_EVT-SEL-20250601012856-0004.html
[2025-06-01 01:29:30.877] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' escrito en 'data'.
[2025-06-01 01:29:31.094] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' leído de 'data'.
[2025-06-01 01:29:31.097] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' escrito en 'data'.
[2025-06-01 01:29:31.308] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' leído de 'data'.
[2025-06-01 01:29:31.312] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' escrito en 'data'.
[2025-06-01 01:29:31.526] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' leído de 'data'.
[2025-06-01 01:29:31.531] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012930-0005.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:32.532] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012930-0005.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:33.533] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012930-0005.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:34.534] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012930-0005.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:35.536] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012930-0005.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:36.537] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012930-0005.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:37.538] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012930-0005.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:38.539] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012930-0005.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:39.548] [System                      ] [DEBUG] Archivo JSON 'decision_EVT-SEL-20250601012930-0005.json' leído de 'data_dashboard'.
[2025-06-01 01:29:39.552] [System                      ] [DEBUG] Archivo JSON 'routing_output.json' escrito en 'data'.
[2025-06-01 01:29:39.763] [System                      ] [DEBUG] Archivo JSON 'routing_output.json' leído de 'data'.
[2025-06-01 01:29:39.783] [System                      ] [INFO ] Reporte HTML generado: reports\evento_EVT-SEL-20250601012930-0005.html
[2025-06-01 01:29:57.976] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' escrito en 'data'.
[2025-06-01 01:29:58.187] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' leído de 'data'.
[2025-06-01 01:29:58.190] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' escrito en 'data'.
[2025-06-01 01:29:58.401] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' leído de 'data'.
[2025-06-01 01:29:58.403] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' escrito en 'data'.
[2025-06-01 01:29:58.617] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' leído de 'data'.
[2025-06-01 01:29:58.622] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012957-0006.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:29:59.623] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012957-0006.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:30:00.624] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012957-0006.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:30:01.625] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012957-0006.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:30:02.627] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012957-0006.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:30:03.628] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012957-0006.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:30:04.629] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012957-0006.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:30:05.629] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012957-0006.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:30:06.631] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601012957-0006.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:30:07.641] [System                      ] [DEBUG] Archivo JSON 'decision_EVT-SEL-20250601012957-0006.json' leído de 'data_dashboard'.
[2025-06-01 01:30:07.645] [System                      ] [DEBUG] Archivo JSON 'routing_output.json' escrito en 'data'.
[2025-06-01 01:30:07.860] [System                      ] [DEBUG] Archivo JSON 'routing_output.json' leído de 'data'.
[2025-06-01 01:30:07.875] [System                      ] [INFO ] Reporte HTML generado: reports\evento_EVT-SEL-20250601012957-0006.html
[2025-06-01 01:30:26.083] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' escrito en 'data'.
[2025-06-01 01:30:26.294] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' leído de 'data'.
[2025-06-01 01:30:26.297] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' escrito en 'data'.
[2025-06-01 01:30:26.509] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' leído de 'data'.
[2025-06-01 01:30:26.511] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' escrito en 'data'.
[2025-06-01 01:30:26.723] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' leído de 'data'.
[2025-06-01 01:30:26.728] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013026-0007.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:30:27.730] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013026-0007.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:30:28.731] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013026-0007.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:30:29.732] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013026-0007.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:30:30.733] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013026-0007.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:30:31.735] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013026-0007.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:30:32.736] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013026-0007.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:30:33.737] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013026-0007.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:30:34.738] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013026-0007.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:30:35.750] [System                      ] [DEBUG] Archivo JSON 'decision_EVT-SEL-20250601013026-0007.json' leído de 'data_dashboard'.
[2025-06-01 01:30:35.753] [System                      ] [DEBUG] Archivo JSON 'routing_output.json' escrito en 'data'.
[2025-06-01 01:30:35.965] [System                      ] [DEBUG] Archivo JSON 'routing_output.json' leído de 'data'.
[2025-06-01 01:30:35.988] [System                      ] [INFO ] Reporte HTML generado: reports\evento_EVT-SEL-20250601013026-0007.html
[2025-06-01 01:30:58.189] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' escrito en 'data'.
[2025-06-01 01:30:58.401] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' leído de 'data'.
[2025-06-01 01:30:58.404] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' escrito en 'data'.
[2025-06-01 01:30:58.617] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' leído de 'data'.
[2025-06-01 01:30:58.620] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' escrito en 'data'.
[2025-06-01 01:30:58.831] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' leído de 'data'.
[2025-06-01 01:30:58.836] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013058-0008.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:30:59.837] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013058-0008.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:31:00.838] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013058-0008.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:31:01.839] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013058-0008.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:31:02.840] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013058-0008.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:31:03.842] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013058-0008.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:31:04.843] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013058-0008.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:31:05.844] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013058-0008.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:31:06.845] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013058-0008.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:31:07.847] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013058-0008.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:31:08.848] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013058-0008.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:31:09.849] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013058-0008.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:31:10.850] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013058-0008.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:31:11.852] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013058-0008.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:31:12.853] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013058-0008.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:31:13.854] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013058-0008.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:31:14.863] [System                      ] [DEBUG] Archivo JSON 'decision_EVT-SEL-20250601013058-0008.json' leído de 'data_dashboard'.
[2025-06-01 01:31:14.867] [System                      ] [DEBUG] Archivo JSON 'routing_output.json' escrito en 'data'.
[2025-06-01 01:31:15.079] [System                      ] [DEBUG] Archivo JSON 'routing_output.json' leído de 'data'.
[2025-06-01 01:31:15.087] [System                      ] [INFO ] Reporte HTML generado: reports\evento_EVT-SEL-20250601013058-0008.html
[2025-06-01 01:31:34.276] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' escrito en 'data'.
[2025-06-01 01:31:34.487] [System                      ] [DEBUG] Archivo JSON 'monitor_output.json' leído de 'data'.
[2025-06-01 01:31:34.490] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' escrito en 'data'.
[2025-06-01 01:31:34.702] [System                      ] [DEBUG] Archivo JSON 'analysis_output.json' leído de 'data'.
[2025-06-01 01:31:34.705] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' escrito en 'data'.
[2025-06-01 01:31:34.916] [System                      ] [DEBUG] Archivo JSON 'enriched_output.json' leído de 'data'.
[2025-06-01 01:31:34.921] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013134-0009.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:31:35.922] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013134-0009.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:31:36.923] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013134-0009.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:31:37.924] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013134-0009.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:31:38.925] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013134-0009.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:31:39.926] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013134-0009.json' no encontrado en 'data_dashboard'.
[2025-06-01 01:31:40.927] [System                      ] [WARN ] Archivo JSON 'decision_EVT-SEL-20250601013134-0009.json' no encontrado en 'data_dashboard'.
